Country of residence,Origin,Year,Month,Values
Belgium,Cabo Verde,1999,November,1
France,Cabo Verde,1999,April,1
France,Cabo Verde,1999,June,1
Germany,Cabo Verde,1999,August,1
Germany,Cabo Verde,1999,December,1
Netherlands,Cabo Verde,1999,April,1
Netherlands,Cabo Verde,1999,June,1
Netherlands,Cabo Verde,1999,November,1
USA (EOIR),Cabo Verde,1999,November,1
France,Cabo Verde,2000,January,1
France,Cabo Verde,2000,March,1
France,Cabo Verde,2000,October,2
USA (EOIR),Cabo Verde,2000,May,2
USA (EOIR),Cabo Verde,2000,June,2
USA (EOIR),Cabo Verde,2000,July,1
USA (EOIR),Cabo Verde,2000,August,1
USA (EOIR),Cabo Verde,2000,October,1
France,Cabo Verde,2001,March,1
France,Cabo Verde,2001,April,1
France,Cabo Verde,2001,May,1
France,Cabo Verde,2001,June,2
France,Cabo Verde,2001,July,3
France,Cabo Verde,2001,September,1
Poland,Cabo Verde,2001,June,1
USA (EOIR),Cabo Verde,2001,January,1
USA (EOIR),Cabo Verde,2001,May,1
USA (EOIR),Cabo Verde,2001,November,1
France,Cabo Verde,2002,June,1
France,Cabo Verde,2002,July,1
Sweden,Cabo Verde,2002,August,1
USA (EOIR),Cabo Verde,2002,April,2
USA (EOIR),Cabo Verde,2002,December,1
Austria,Cabo Verde,2003,March,1
Austria,Cabo Verde,2003,July,1
Canada,Cabo Verde,2003,February,1
France,Cabo Verde,2003,December,3
Germany,Cabo Verde,2003,October,1
Luxembourg,Cabo Verde,2003,April,1
Norway,Cabo Verde,2003,September,4
Switzerland,Cabo Verde,2003,July,1
Austria,Cabo Verde,2004,April,1
France,Cabo Verde,2004,February,1
France,Cabo Verde,2004,March,3
France,Cabo Verde,2004,May,1
France,Cabo Verde,2004,July,2
France,Cabo Verde,2004,August,2
France,Cabo Verde,2004,September,1
France,Cabo Verde,2004,November,1
Germany,Cabo Verde,2004,May,1
Germany,Cabo Verde,2004,November,1
Poland,Cabo Verde,2004,April,2
Spain,Cabo Verde,2004,September,1
Sweden,Cabo Verde,2004,November,1
United Kingdom of Great Britain and Northern Ireland,Cabo Verde,2004,June,4
USA (EOIR),Cabo Verde,2004,April,1
USA (EOIR),Cabo Verde,2004,July,2
France,Cabo Verde,2005,January,4
France,Cabo Verde,2005,February,2
France,Cabo Verde,2005,March,4
France,Cabo Verde,2005,April,1
France,Cabo Verde,2005,May,2
France,Cabo Verde,2005,July,1
Switzerland,Cabo Verde,2005,September,1
USA (EOIR),Cabo Verde,2005,January,1
USA (EOIR),Cabo Verde,2005,May,1
USA (INS/DHS),Cabo Verde,2005,March,1
USA (INS/DHS),Cabo Verde,2005,May,1
USA (INS/DHS),Cabo Verde,2005,October,1
Netherlands,Cabo Verde,2006,February,1
USA (EOIR),Cabo Verde,2006,March,1
USA (EOIR),Cabo Verde,2006,July,1
Netherlands,Cabo Verde,2007,December,1
Switzerland,Cabo Verde,2007,October,1
USA (EOIR),Cabo Verde,2007,May,2
Belgium,Cabo Verde,2008,April,1
Canada,Cabo Verde,2008,April,1
Italy,Cabo Verde,2008,February,2
Italy,Cabo Verde,2008,March,2
Poland,Cabo Verde,2008,April,2
Spain,Cabo Verde,2008,January,1
Switzerland,Cabo Verde,2008,October,1
USA (EOIR),Cabo Verde,2008,February,1
USA (EOIR),Cabo Verde,2008,April,2
Ireland,Cabo Verde,2009,November,3
Spain,Cabo Verde,2009,May,2
Switzerland,Cabo Verde,2009,February,1
Switzerland,Cabo Verde,2009,August,1
Switzerland,Cabo Verde,2009,November,1
Germany,Cabo Verde,2010,March,1
Greece,Cabo Verde,2010,March,1
Greece,Cabo Verde,2010,September,1
Ireland,Cabo Verde,2010,September,1
Norway,Cabo Verde,2010,October,1
Switzerland,Cabo Verde,2010,August,1
Switzerland,Cabo Verde,2010,September,1
USA (INS/DHS),Cabo Verde,2010,May,1
France,Cabo Verde,2011,February,4
France,Cabo Verde,2011,March,6
France,Cabo Verde,2011,May,2
France,Cabo Verde,2011,December,1
Norway,Cabo Verde,2011,September,1
Switzerland,Cabo Verde,2011,July,1
United Kingdom of Great Britain and Northern Ireland,Cabo Verde,2011,June,4
Canada,Cabo Verde,2012,January,1
Denmark,Cabo Verde,2012,October,1
France,Cabo Verde,2012,March,1
France,Cabo Verde,2012,April,2
France,Cabo Verde,2012,August,1
France,Cabo Verde,2012,September,1
France,Cabo Verde,2012,December,4
Greece,Cabo Verde,2012,November,2
Italy,Cabo Verde,2012,September,1
Netherlands,Cabo Verde,2012,May,1
Norway,Cabo Verde,2012,June,1
Switzerland,Cabo Verde,2012,February,1
Switzerland,Cabo Verde,2012,October,1
USA (EOIR),Cabo Verde,2012,February,1
USA (EOIR),Cabo Verde,2012,September,1
France,Cabo Verde,2013,February,1
France,Cabo Verde,2013,April,2
France,Cabo Verde,2013,June,1
France,Cabo Verde,2013,August,1
France,Cabo Verde,2013,September,1
France,Cabo Verde,2013,December,1
Netherlands,Cabo Verde,2013,January,1
Norway,Cabo Verde,2013,March,1
Spain,Cabo Verde,2013,December,1
Sweden,Cabo Verde,2013,April,1
Switzerland,Cabo Verde,2013,January,1
Switzerland,Cabo Verde,2013,May,1
Switzerland,Cabo Verde,2013,August,2
USA (INS/DHS),Cabo Verde,2013,March,1
USA (INS/DHS),Cabo Verde,2013,July,1
USA (INS/DHS),Cabo Verde,2013,December,1
Finland,Cabo Verde,2014,January,1
France,Cabo Verde,2014,January,1
France,Cabo Verde,2014,February,1
France,Cabo Verde,2014,April,2
France,Cabo Verde,2014,June,3
France,Cabo Verde,2014,September,1
Luxembourg,Cabo Verde,2014,August,1
Malta,Cabo Verde,2014,July,1
Portugal,Cabo Verde,2014,June,1
Sweden,Cabo Verde,2014,July,2
Sweden,Cabo Verde,2014,August,1
Switzerland,Cabo Verde,2014,June,1
Switzerland,Cabo Verde,2014,October,2
Switzerland,Cabo Verde,2014,November,1
USA (INS/DHS),Cabo Verde,2014,April,1
USA (INS/DHS),Cabo Verde,2014,July,1
USA (INS/DHS),Cabo Verde,2014,September,1
USA (INS/DHS),Cabo Verde,2014,October,1
USA (INS/DHS),Cabo Verde,2014,December,1
Germany,Cabo Verde,2015,September,1
Italy,Cabo Verde,2015,March,1
Italy,Cabo Verde,2015,May,2
Netherlands,Cabo Verde,2015,May,1
Sweden,Cabo Verde,2015,October,1
Sweden,Cabo Verde,2015,December,1
United Kingdom of Great Britain and Northern Ireland,Cabo Verde,2015,February,2
USA (INS/DHS),Cabo Verde,2015,June,1
USA (INS/DHS),Cabo Verde,2015,July,1
USA (INS/DHS),Cabo Verde,2015,August,1
USA (INS/DHS),Cabo Verde,2015,September,1
USA (INS/DHS),Cabo Verde,2015,October,1
Belgium,Cabo Verde,2017,January,0
Canada,Cabo Verde,2016,November,0
Cyprus,Cabo Verde,2017,April,0
Finland,Cabo Verde,2016,January,0
France,Cabo Verde,2016,January,0
France,Cabo Verde,2016,May,0
France,Cabo Verde,2016,July,0
France,Cabo Verde,2016,August,0
France,Cabo Verde,2016,October,0
France,Cabo Verde,2016,November,0
Germany,Cabo Verde,2016,January,0
Germany,Cabo Verde,2016,August,0
Italy,Cabo Verde,2016,January,0
Italy,Cabo Verde,2016,July,0
Netherlands,Cabo Verde,2017,February,0
Spain,Cabo Verde,2016,February,0
Spain,Cabo Verde,2016,November,16
Spain,Cabo Verde,2017,March,0
Switzerland,Cabo Verde,2017,February,0
USA (INS/DHS),Cabo Verde,2016,March,0
USA (INS/DHS),Cabo Verde,2016,April,0
USA (INS/DHS),Cabo Verde,2016,May,0
USA (INS/DHS),Cabo Verde,2016,August,0
USA (INS/DHS),Cabo Verde,2016,September,0
USA (INS/DHS),Cabo Verde,2017,May,0
Australia,Burundi,1999,September,1
Austria,Burundi,1999,March,2
Austria,Burundi,1999,May,2
Austria,Burundi,1999,August,1
Austria,Burundi,1999,September,4
Austria,Burundi,1999,November,1
Belgium,Burundi,1999,January,27
Belgium,Burundi,1999,February,22
Belgium,Burundi,1999,March,17
Belgium,Burundi,1999,April,15
Belgium,Burundi,1999,May,16
Belgium,Burundi,1999,June,21
Belgium,Burundi,1999,July,20
Belgium,Burundi,1999,August,27
Belgium,Burundi,1999,September,26
Belgium,Burundi,1999,October,24
Belgium,Burundi,1999,November,30
Belgium,Burundi,1999,December,30
Bulgaria,Burundi,1999,February,1
Canada,Burundi,1999,January,6
Canada,Burundi,1999,February,6
Canada,Burundi,1999,March,7
Canada,Burundi,1999,April,7
Canada,Burundi,1999,May,5
Canada,Burundi,1999,June,6
Canada,Burundi,1999,July,3
Canada,Burundi,1999,August,8
Canada,Burundi,1999,September,13
Canada,Burundi,1999,October,10
Canada,Burundi,1999,November,5
Canada,Burundi,1999,December,7
Czech Rep.,Burundi,1999,September,1
Denmark,Burundi,1999,January,2
Denmark,Burundi,1999,February,1
Denmark,Burundi,1999,March,4
Denmark,Burundi,1999,April,1
Denmark,Burundi,1999,May,1
Denmark,Burundi,1999,June,2
Denmark,Burundi,1999,July,1
Denmark,Burundi,1999,October,1
Denmark,Burundi,1999,November,4
Denmark,Burundi,1999,December,3
France,Burundi,1999,January,3
France,Burundi,1999,February,6
France,Burundi,1999,March,6
France,Burundi,1999,April,9
France,Burundi,1999,May,6
France,Burundi,1999,June,3
France,Burundi,1999,July,2
France,Burundi,1999,August,6
France,Burundi,1999,September,4
France,Burundi,1999,October,5
France,Burundi,1999,November,1
France,Burundi,1999,December,4
Germany,Burundi,1999,January,4
Germany,Burundi,1999,February,5
Germany,Burundi,1999,March,2
Germany,Burundi,1999,May,1
Germany,Burundi,1999,June,2
Germany,Burundi,1999,July,1
Germany,Burundi,1999,August,1
Germany,Burundi,1999,September,7
Germany,Burundi,1999,October,3
Germany,Burundi,1999,November,4
Germany,Burundi,1999,December,8
Hungary,Burundi,1999,February,2
Hungary,Burundi,1999,April,1
Hungary,Burundi,1999,July,1
Ireland,Burundi,1999,February,2
Ireland,Burundi,1999,June,1
Ireland,Burundi,1999,August,1
Ireland,Burundi,1999,September,10
Ireland,Burundi,1999,October,2
Ireland,Burundi,1999,November,1
Ireland,Burundi,1999,December,2
Netherlands,Burundi,1999,January,8
Netherlands,Burundi,1999,February,9
Netherlands,Burundi,1999,March,9
Netherlands,Burundi,1999,April,14
Netherlands,Burundi,1999,May,11
Netherlands,Burundi,1999,June,26
Netherlands,Burundi,1999,July,12
Netherlands,Burundi,1999,August,12
Netherlands,Burundi,1999,September,25
Netherlands,Burundi,1999,October,23
Netherlands,Burundi,1999,November,24
Netherlands,Burundi,1999,December,31
Norway,Burundi,1999,August,1
Norway,Burundi,1999,October,1
Norway,Burundi,1999,November,1
Spain,Burundi,1999,March,1
Spain,Burundi,1999,September,1
Sweden,Burundi,1999,July,2
Sweden,Burundi,1999,September,1
Switzerland,Burundi,1999,January,3
Switzerland,Burundi,1999,February,2
Switzerland,Burundi,1999,March,1
Switzerland,Burundi,1999,April,1
Switzerland,Burundi,1999,May,4
Switzerland,Burundi,1999,June,2
Switzerland,Burundi,1999,July,1
Switzerland,Burundi,1999,August,1
Switzerland,Burundi,1999,November,2
Switzerland,Burundi,1999,December,1
Turkey,Burundi,1999,December,1
USA (EOIR),Burundi,1999,January,2
USA (EOIR),Burundi,1999,June,1
USA (EOIR),Burundi,1999,July,1
USA (EOIR),Burundi,1999,October,2
USA (EOIR),Burundi,1999,November,1
Australia,Burundi,2000,August,2
Australia,Burundi,2000,October,1
Australia,Burundi,2000,November,4
Austria,Burundi,2000,March,1
Austria,Burundi,2000,June,4
Austria,Burundi,2000,October,1
Austria,Burundi,2000,November,1
Austria,Burundi,2000,December,1
Belgium,Burundi,2000,January,24
Belgium,Burundi,2000,February,33
Belgium,Burundi,2000,March,15
Belgium,Burundi,2000,April,19
Belgium,Burundi,2000,May,32
Belgium,Burundi,2000,June,22
Belgium,Burundi,2000,July,27
Belgium,Burundi,2000,August,34
Belgium,Burundi,2000,September,23
Belgium,Burundi,2000,October,27
Belgium,Burundi,2000,November,31
Belgium,Burundi,2000,December,18
Canada,Burundi,2000,January,9
Canada,Burundi,2000,February,5
Canada,Burundi,2000,March,5
Canada,Burundi,2000,April,10
Canada,Burundi,2000,May,8
Canada,Burundi,2000,June,8
Canada,Burundi,2000,July,13
Canada,Burundi,2000,August,28
Canada,Burundi,2000,September,33
Canada,Burundi,2000,October,25
Canada,Burundi,2000,November,20
Canada,Burundi,2000,December,19
Denmark,Burundi,2000,January,6
Denmark,Burundi,2000,February,4
Denmark,Burundi,2000,March,7
Denmark,Burundi,2000,May,3
Denmark,Burundi,2000,July,2
Denmark,Burundi,2000,August,3
Denmark,Burundi,2000,September,3
Denmark,Burundi,2000,October,7
France,Burundi,2000,January,5
France,Burundi,2000,February,3
France,Burundi,2000,March,2
France,Burundi,2000,April,3
France,Burundi,2000,May,5
France,Burundi,2000,June,3
France,Burundi,2000,August,5
France,Burundi,2000,September,5
France,Burundi,2000,October,4
France,Burundi,2000,November,3
Germany,Burundi,2000,January,6
Germany,Burundi,2000,February,7
Germany,Burundi,2000,March,15
Germany,Burundi,2000,April,7
Germany,Burundi,2000,May,4
Germany,Burundi,2000,June,3
Germany,Burundi,2000,July,2
Germany,Burundi,2000,August,7
Germany,Burundi,2000,September,7
Germany,Burundi,2000,October,2
Germany,Burundi,2000,November,1
Germany,Burundi,2000,December,6
Ireland,Burundi,2000,May,1
Ireland,Burundi,2000,June,3
Ireland,Burundi,2000,July,1
Ireland,Burundi,2000,August,3
Ireland,Burundi,2000,October,1
Ireland,Burundi,2000,November,1
Ireland,Burundi,2000,December,2
Luxembourg,Burundi,2000,September,1
Netherlands,Burundi,2000,January,28
Netherlands,Burundi,2000,February,28
Netherlands,Burundi,2000,March,30
Netherlands,Burundi,2000,April,22
Netherlands,Burundi,2000,May,26
Netherlands,Burundi,2000,June,18
Netherlands,Burundi,2000,July,31
Netherlands,Burundi,2000,August,30
Netherlands,Burundi,2000,September,27
Netherlands,Burundi,2000,October,29
Netherlands,Burundi,2000,November,36
Netherlands,Burundi,2000,December,30
Norway,Burundi,2000,January,1
Norway,Burundi,2000,April,3
Norway,Burundi,2000,May,5
Norway,Burundi,2000,October,1
Romania,Burundi,2000,October,1
Sweden,Burundi,2000,February,1
Sweden,Burundi,2000,March,2
Sweden,Burundi,2000,May,1
Sweden,Burundi,2000,June,2
Sweden,Burundi,2000,July,1
Sweden,Burundi,2000,August,1
Sweden,Burundi,2000,September,1
Sweden,Burundi,2000,November,2
Switzerland,Burundi,2000,February,2
Switzerland,Burundi,2000,March,1
Switzerland,Burundi,2000,May,3
Switzerland,Burundi,2000,June,1
Switzerland,Burundi,2000,July,1
Switzerland,Burundi,2000,August,2
Switzerland,Burundi,2000,September,7
Switzerland,Burundi,2000,October,3
Switzerland,Burundi,2000,November,5
Switzerland,Burundi,2000,December,3
USA (EOIR),Burundi,2000,January,1
USA (EOIR),Burundi,2000,February,1
USA (EOIR),Burundi,2000,March,1
USA (EOIR),Burundi,2000,June,1
USA (EOIR),Burundi,2000,July,1
USA (EOIR),Burundi,2000,August,1
USA (EOIR),Burundi,2000,September,1
USA (EOIR),Burundi,2000,October,1
USA (EOIR),Burundi,2000,November,2
USA (EOIR),Burundi,2000,December,1
USA (INS/DHS),Burundi,2000,February,6
USA (INS/DHS),Burundi,2000,March,6
USA (INS/DHS),Burundi,2000,April,7
USA (INS/DHS),Burundi,2000,May,5
USA (INS/DHS),Burundi,2000,June,9
USA (INS/DHS),Burundi,2000,July,9
USA (INS/DHS),Burundi,2000,September,7
USA (INS/DHS),Burundi,2000,October,7
USA (INS/DHS),Burundi,2000,November,9
Austria,Burundi,2001,April,1
Austria,Burundi,2001,June,1
Belgium,Burundi,2001,January,28
Belgium,Burundi,2001,February,21
Belgium,Burundi,2001,March,16
Belgium,Burundi,2001,April,18
Belgium,Burundi,2001,May,18
Belgium,Burundi,2001,June,15
Belgium,Burundi,2001,July,23
Belgium,Burundi,2001,August,23
Belgium,Burundi,2001,September,18
Belgium,Burundi,2001,October,31
Belgium,Burundi,2001,November,33
Belgium,Burundi,2001,December,11
Canada,Burundi,2001,January,24
Canada,Burundi,2001,February,14
Canada,Burundi,2001,March,9
Canada,Burundi,2001,April,6
Canada,Burundi,2001,May,5
Canada,Burundi,2001,June,10
Canada,Burundi,2001,July,49
Canada,Burundi,2001,August,64
Canada,Burundi,2001,September,49
Canada,Burundi,2001,October,44
Canada,Burundi,2001,November,30
Canada,Burundi,2001,December,49
Denmark,Burundi,2001,February,1
Denmark,Burundi,2001,March,10
Denmark,Burundi,2001,April,5
Denmark,Burundi,2001,May,6
Denmark,Burundi,2001,June,5
Denmark,Burundi,2001,July,2
Denmark,Burundi,2001,August,9
Denmark,Burundi,2001,September,3
Denmark,Burundi,2001,October,1
Denmark,Burundi,2001,November,13
Denmark,Burundi,2001,December,1
Finland,Burundi,2001,October,1
France,Burundi,2001,January,2
France,Burundi,2001,February,2
France,Burundi,2001,March,1
France,Burundi,2001,April,8
France,Burundi,2001,May,6
France,Burundi,2001,June,3
France,Burundi,2001,July,7
France,Burundi,2001,August,6
France,Burundi,2001,September,6
France,Burundi,2001,October,5
France,Burundi,2001,November,6
France,Burundi,2001,December,3
Germany,Burundi,2001,January,11
Germany,Burundi,2001,February,4
Germany,Burundi,2001,March,5
Germany,Burundi,2001,April,4
Germany,Burundi,2001,May,7
Germany,Burundi,2001,June,3
Germany,Burundi,2001,July,6
Germany,Burundi,2001,August,15
Germany,Burundi,2001,September,11
Germany,Burundi,2001,October,22
Germany,Burundi,2001,November,8
Germany,Burundi,2001,December,6
Greece,Burundi,2001,January,1
Greece,Burundi,2001,February,1
Greece,Burundi,2001,April,1
Greece,Burundi,2001,May,1
Greece,Burundi,2001,August,1
Hungary,Burundi,2001,December,2
Ireland,Burundi,2001,January,1
Ireland,Burundi,2001,April,2
Ireland,Burundi,2001,July,1
Ireland,Burundi,2001,October,2
Ireland,Burundi,2001,November,1
Netherlands,Burundi,2001,January,33
Netherlands,Burundi,2001,February,31
Netherlands,Burundi,2001,March,33
Netherlands,Burundi,2001,April,29
Netherlands,Burundi,2001,May,29
Netherlands,Burundi,2001,June,26
Netherlands,Burundi,2001,July,30
Netherlands,Burundi,2001,August,56
Netherlands,Burundi,2001,September,36
Netherlands,Burundi,2001,October,52
Netherlands,Burundi,2001,November,30
Netherlands,Burundi,2001,December,42
Norway,Burundi,2001,January,1
Norway,Burundi,2001,February,1
Norway,Burundi,2001,May,2
Norway,Burundi,2001,June,3
Norway,Burundi,2001,August,5
Norway,Burundi,2001,September,6
Norway,Burundi,2001,November,5
Norway,Burundi,2001,December,7
Romania,Burundi,2001,November,1
Spain,Burundi,2001,January,3
Spain,Burundi,2001,March,1
Sweden,Burundi,2001,January,1
Sweden,Burundi,2001,February,2
Sweden,Burundi,2001,March,2
Sweden,Burundi,2001,April,1
Sweden,Burundi,2001,May,4
Sweden,Burundi,2001,June,1
Sweden,Burundi,2001,July,5
Sweden,Burundi,2001,August,10
Sweden,Burundi,2001,September,18
Sweden,Burundi,2001,October,4
Sweden,Burundi,2001,November,11
Sweden,Burundi,2001,December,2
Switzerland,Burundi,2001,January,2
Switzerland,Burundi,2001,February,4
Switzerland,Burundi,2001,March,3
Switzerland,Burundi,2001,April,1
Switzerland,Burundi,2001,May,2
Switzerland,Burundi,2001,June,2
Switzerland,Burundi,2001,July,1
Switzerland,Burundi,2001,August,8
Switzerland,Burundi,2001,September,3
Switzerland,Burundi,2001,October,6
Switzerland,Burundi,2001,November,2
Switzerland,Burundi,2001,December,2
Turkey,Burundi,2001,September,1
Turkey,Burundi,2001,October,1
United Kingdom of Great Britain and Northern Ireland,Burundi,2001,January,50
United Kingdom of Great Britain and Northern Ireland,Burundi,2001,February,60
United Kingdom of Great Britain and Northern Ireland,Burundi,2001,March,55
United Kingdom of Great Britain and Northern Ireland,Burundi,2001,April,50
United Kingdom of Great Britain and Northern Ireland,Burundi,2001,May,55
United Kingdom of Great Britain and Northern Ireland,Burundi,2001,June,40
United Kingdom of Great Britain and Northern Ireland,Burundi,2001,July,60
United Kingdom of Great Britain and Northern Ireland,Burundi,2001,August,40
United Kingdom of Great Britain and Northern Ireland,Burundi,2001,September,50
United Kingdom of Great Britain and Northern Ireland,Burundi,2001,October,65
United Kingdom of Great Britain and Northern Ireland,Burundi,2001,November,50
United Kingdom of Great Britain and Northern Ireland,Burundi,2001,December,40
USA (EOIR),Burundi,2001,January,2
USA (EOIR),Burundi,2001,March,1
USA (EOIR),Burundi,2001,April,2
USA (EOIR),Burundi,2001,October,1
USA (INS/DHS),Burundi,2001,February,7
USA (INS/DHS),Burundi,2001,March,8
USA (INS/DHS),Burundi,2001,April,6
USA (INS/DHS),Burundi,2001,May,15
USA (INS/DHS),Burundi,2001,June,11
USA (INS/DHS),Burundi,2001,August,10
USA (INS/DHS),Burundi,2001,October,9
USA (INS/DHS),Burundi,2001,November,12
USA (INS/DHS),Burundi,2001,December,11
Australia,Burundi,2002,February,6
Australia,Burundi,2002,May,2
Austria,Burundi,2002,February,1
Austria,Burundi,2002,March,2
Austria,Burundi,2002,October,1
Austria,Burundi,2002,November,1
Austria,Burundi,2002,December,1
Belgium,Burundi,2002,January,20
Belgium,Burundi,2002,February,16
Belgium,Burundi,2002,March,20
Belgium,Burundi,2002,April,11
Belgium,Burundi,2002,May,11
Belgium,Burundi,2002,June,18
Belgium,Burundi,2002,July,20
Belgium,Burundi,2002,August,21
Belgium,Burundi,2002,September,31
Belgium,Burundi,2002,October,24
Belgium,Burundi,2002,November,27
Belgium,Burundi,2002,December,20
Canada,Burundi,2002,January,44
Canada,Burundi,2002,February,16
Canada,Burundi,2002,March,18
Canada,Burundi,2002,April,28
Canada,Burundi,2002,May,15
Canada,Burundi,2002,June,8
Canada,Burundi,2002,July,29
Canada,Burundi,2002,August,13
Canada,Burundi,2002,September,22
Canada,Burundi,2002,October,17
Canada,Burundi,2002,November,11
Canada,Burundi,2002,December,13
Denmark,Burundi,2002,January,2
Denmark,Burundi,2002,February,2
Denmark,Burundi,2002,March,6
Denmark,Burundi,2002,April,1
Denmark,Burundi,2002,May,3
Denmark,Burundi,2002,June,3
Denmark,Burundi,2002,July,2
Denmark,Burundi,2002,August,3
Denmark,Burundi,2002,September,3
Denmark,Burundi,2002,October,3
Denmark,Burundi,2002,November,6
Denmark,Burundi,2002,December,5
Finland,Burundi,2002,October,1
Finland,Burundi,2002,December,1
France,Burundi,2002,January,3
France,Burundi,2002,February,2
France,Burundi,2002,March,5
France,Burundi,2002,April,1
France,Burundi,2002,May,7
France,Burundi,2002,June,3
France,Burundi,2002,July,7
France,Burundi,2002,August,2
France,Burundi,2002,September,7
France,Burundi,2002,October,11
France,Burundi,2002,November,5
France,Burundi,2002,December,7
Germany,Burundi,2002,January,12
Germany,Burundi,2002,February,6
Germany,Burundi,2002,March,7
Germany,Burundi,2002,April,11
Germany,Burundi,2002,May,4
Germany,Burundi,2002,June,12
Germany,Burundi,2002,July,7
Germany,Burundi,2002,August,8
Germany,Burundi,2002,September,8
Germany,Burundi,2002,October,18
Germany,Burundi,2002,November,12
Germany,Burundi,2002,December,3
Greece,Burundi,2002,July,5
Greece,Burundi,2002,August,2
Greece,Burundi,2002,December,1
Ireland,Burundi,2002,January,1
Ireland,Burundi,2002,February,3
Ireland,Burundi,2002,March,1
Ireland,Burundi,2002,April,2
Ireland,Burundi,2002,May,1
Ireland,Burundi,2002,June,1
Ireland,Burundi,2002,August,1
Ireland,Burundi,2002,October,1
Luxembourg,Burundi,2002,September,1
Netherlands,Burundi,2002,January,36
Netherlands,Burundi,2002,February,29
Netherlands,Burundi,2002,March,37
Netherlands,Burundi,2002,April,33
Netherlands,Burundi,2002,May,26
Netherlands,Burundi,2002,June,33
Netherlands,Burundi,2002,July,37
Netherlands,Burundi,2002,August,49
Netherlands,Burundi,2002,September,61
Netherlands,Burundi,2002,October,47
Netherlands,Burundi,2002,November,41
Netherlands,Burundi,2002,December,23
Norway,Burundi,2002,January,3
Norway,Burundi,2002,February,3
Norway,Burundi,2002,March,6
Norway,Burundi,2002,April,2
Norway,Burundi,2002,May,8
Norway,Burundi,2002,June,2
Norway,Burundi,2002,July,11
Norway,Burundi,2002,August,2
Norway,Burundi,2002,September,9
Norway,Burundi,2002,October,6
Norway,Burundi,2002,November,2
Norway,Burundi,2002,December,2
Slovakia,Burundi,2002,June,1
Spain,Burundi,2002,March,3
Spain,Burundi,2002,April,1
Spain,Burundi,2002,July,1
Sweden,Burundi,2002,January,14
Sweden,Burundi,2002,February,2
Sweden,Burundi,2002,March,3
Sweden,Burundi,2002,April,7
Sweden,Burundi,2002,May,14
Sweden,Burundi,2002,June,6
Sweden,Burundi,2002,July,18
Sweden,Burundi,2002,August,20
Sweden,Burundi,2002,September,16
Sweden,Burundi,2002,October,18
Sweden,Burundi,2002,November,7
Sweden,Burundi,2002,December,10
Switzerland,Burundi,2002,January,1
Switzerland,Burundi,2002,February,4
Switzerland,Burundi,2002,March,2
Switzerland,Burundi,2002,April,3
Switzerland,Burundi,2002,May,4
Switzerland,Burundi,2002,June,2
Switzerland,Burundi,2002,July,6
Switzerland,Burundi,2002,September,3
Switzerland,Burundi,2002,October,6
Switzerland,Burundi,2002,November,7
Switzerland,Burundi,2002,December,2
United Kingdom of Great Britain and Northern Ireland,Burundi,2002,January,83
United Kingdom of Great Britain and Northern Ireland,Burundi,2002,February,48
United Kingdom of Great Britain and Northern Ireland,Burundi,2002,March,52
United Kingdom of Great Britain and Northern Ireland,Burundi,2002,April,44
United Kingdom of Great Britain and Northern Ireland,Burundi,2002,May,67
United Kingdom of Great Britain and Northern Ireland,Burundi,2002,June,66
United Kingdom of Great Britain and Northern Ireland,Burundi,2002,July,71
United Kingdom of Great Britain and Northern Ireland,Burundi,2002,August,78
United Kingdom of Great Britain and Northern Ireland,Burundi,2002,September,72
United Kingdom of Great Britain and Northern Ireland,Burundi,2002,October,68
United Kingdom of Great Britain and Northern Ireland,Burundi,2002,November,75
United Kingdom of Great Britain and Northern Ireland,Burundi,2002,December,100
USA (EOIR),Burundi,2002,March,1
USA (EOIR),Burundi,2002,May,1
USA (EOIR),Burundi,2002,June,3
USA (EOIR),Burundi,2002,August,1
USA (EOIR),Burundi,2002,September,1
USA (EOIR),Burundi,2002,October,1
USA (EOIR),Burundi,2002,November,2
USA (INS/DHS),Burundi,2002,January,13
USA (INS/DHS),Burundi,2002,February,7
USA (INS/DHS),Burundi,2002,April,10
USA (INS/DHS),Burundi,2002,August,13
USA (INS/DHS),Burundi,2002,September,8
USA (INS/DHS),Burundi,2002,November,10
Austria,Burundi,2003,March,5
Austria,Burundi,2003,April,1
Austria,Burundi,2003,July,5
Austria,Burundi,2003,August,6
Austria,Burundi,2003,October,4
Austria,Burundi,2003,November,1
Belgium,Burundi,2003,January,16
Belgium,Burundi,2003,February,22
Belgium,Burundi,2003,March,18
Belgium,Burundi,2003,April,15
Belgium,Burundi,2003,May,13
Belgium,Burundi,2003,June,12
Belgium,Burundi,2003,July,16
Belgium,Burundi,2003,August,26
Belgium,Burundi,2003,September,22
Belgium,Burundi,2003,October,34
Belgium,Burundi,2003,November,23
Belgium,Burundi,2003,December,11
Bulgaria,Burundi,2003,October,1
Canada,Burundi,2003,January,14
Canada,Burundi,2003,February,4
Canada,Burundi,2003,March,5
Canada,Burundi,2003,April,12
Canada,Burundi,2003,May,6
Canada,Burundi,2003,June,7
Canada,Burundi,2003,July,21
Canada,Burundi,2003,August,24
Canada,Burundi,2003,September,19
Canada,Burundi,2003,October,20
Canada,Burundi,2003,November,13
Canada,Burundi,2003,December,12
Denmark,Burundi,2003,January,2
Denmark,Burundi,2003,April,1
Denmark,Burundi,2003,May,1
Denmark,Burundi,2003,June,2
Denmark,Burundi,2003,July,6
